Artist;Title;Year;Orchestra;Conductor;Genre;Format;Label;Catalog Number;Reissue;Mode;DBX
Tisdale, Wayman;Rebound;2008;;;Jazz;CD;Rendezvous Entertainment;REN51392;;S;
Various;Lights Out 11;2008;;;Jazz;CD;Kink FM;101.9;;S;
Boyle, Susan;I Dreamed A Dream;2009;;;Rock;CD;Syco Music;88697 59829 2;;S;
Hamilton, Thomas;Sunday Morning Classics;2009;;;Symphonic;CD;Somerset Entertainment;41581;;S;
Jones, Norah;The Fall;2009;;;Jazz;CD;Blue Note;509996 99286 2 8;;S;
Underwood, Carrie;Play On;2009;;;Country;CD;19 Recordings;88697-49923-2;;S;
Fourplay;Let's Touch The Sky;2010;;;Jazz;CD;Heads Up International;HUI-32030-02;;S;
Johnson, Jack;To The Sea;2010;;;Rock;CD;Brushfire Records;602527382883;;S;
Metheny, Pat;Orchestrion;2010;;;Jazz;CD;Nonesuch;516668-2;;S;
Adele;21;2011;;;Rock;CD;Sony Music;88697 44699 2;;S;
Coldplay;Mylo Xyloto;2011;;;Rock;CD;Parlophone;087 5532;;S;
Desplat, Alexandre;Harry Potter And The Deathly Hallows Part 2 (Original Motion Picture Soundtrack);2011;;;Soundtrack;CD;WaterTower Music;WTM39255;;S;
Grusin, Dave;An Evening With Dave Grusin;2011;;;Jazz;CD;Heads Up International;HUI-31995-02;;S;
Harrison, Michael Allen;Live at Jimmy Mak's;2011;;;Jazz;CD;MAH;110;;S;
Lamb, Patrick;Its All Right Now;2011;;;Jazz;CD;Patrick Lamb Productions;PLP-18912;;S;
Matsui, Keiko;The Road...;2011;;;Jazz;CD;Shanachie;5188;;S;
Metheny, Pat;What's It All About;2011;;;Jazz;CD;Nonesuch;527912-2;;S;
Rippingtons, The;Cote D'Azur;2011;;;Jazz;CD;Peak Records;PKR-32580-02;;S;
Coldplay;Live 2012;2012;;;Rock;CD;Parlophone;50999 015137 2 1;;S;
Fourplay;Esprit De Four;2012;;;Jazz;CD;Heads Up International;HUI-33738-02;;S;
GoGo Penguin;Fanfares;2012;;;Jazz;CD;Gondwana Records;GONDCD 008;;S;
Mars, Bruno;Unorthodox Jukebox;2012;;;Rock;CD;Atlantic;531747-2;;S;
Davis, Miles  Sextet, The ;Miles & Monk At Newport;2013;;;Jazz;LP;Columbia;CL 2178;Y;M;
Lamb, Patrick;Pick Up The Pieces;2013;;;Jazz;CD;Patrick Lamb Productions;none;;S;
Matsui, Keiko;Soul Quest;2013;;;Jazz;CD;Shanachie;5408;;S;
Roach, Max;Deeds, Not Words;2013;;;Jazz;LP;Original Jazz Classics;OJC-304;Y;S;
Rollins, Sonny;The Bridge;2013;;;Jazz;LP;WaxTime;771835;Y;S;
Bennett, Tony;Cheek To Cheek;2014;;;Jazz;CD;Streamline Records;379 722-8;;S;
Coldplay;Ghost Stories;2014;;;Rock;CD;Atlantic;542279-2;;S;
Crosby, Stills, Nash & Young;CSNY 1974;2014;;;Rock;CD;CSNY Recordings;R2-541731;;S;
Hozier;Hozier;2014;;;Rock;CD;Rubyworks;88843 09996 2;;S;
Szabo, Gabor;High Contrast;2014;;;Jazz;CD;Higher Plane;HP CD 5501;Y;S;
Various;When Jazz Meets Guitar;2014;;;Jazz;CD;Universal Music Special Markets;B0019485-02;;S;
Adele;25;2015;;;Rock;CD;XL Recordings;88875175952;;S;
Coldplay;A Head Full Of Dreams;2015;;;Rock;CD;Atlantic;553301-2;;S;
Today, Us,;T E N E N E M I E S;2015;;;Jazz;CD;Not On Label;none;;S;
Burrell, Kenny/Coltrane, John;Kenny Burrell & John Coltrane;2016;;;Jazz;LP;Original Jazz Classics;OJC-300;Y;S;
Davis, Miles;Bitches Brew;2016;;;Jazz;LP;Columbia;88875111901;Y;S;
Giacchino, Michael;Star Trek Beyond (Music from the Motion Picture);2016;;;Soundtrack;LP;Varèse Sarabande;302 067 397 1;;S;
GoGo Penguin;Man Made Object;2016;;;Jazz;CD;Blue Note;B002443502;;S;
GoGo Penguin;v2.0;2016;;;Jazz;CD;Gondwana Records;GONDCD 009;;S;
Jones, Norah;Day Breaks;2016;;;Jazz;CD;Blue Note;B002520702;;S;
Kelly, Grace;Trying To Figure It Out;2016;;;Jazz;CD;Pazz Records;23-16;;S;
Mars, Bruno;XXIVK Magic;2016;;;Rock;CD;Atlantic;2-558305;;S;
Burrell, Kenny;Midnight Blue;2017;;;Jazz;LP;DOL;DOL881HG;;S;
Fire, Earth & Wind;The Best Of Earth, Wind & Fire Vol. 1;2017;;;Jazz;LP;Legacy;88985432341;;S;
Byrd, Donald;Byrd in Hand;2018;;;Jazz;CD;Hallmark Music and Entertainment;717402;Y;M;
GoGo Penguin;A Humdrum Star;2018;;;Jazz;CD;Blue Note;B002780502;;S;
Krall, Diana;Stepping Out;2018;;;Jazz;CD;Justin Time;JUST 258-2;;S;
Lamb, Patrick;Soul Ties;2018;;;Jazz;CD;Patrick Lamb Productions;NA;;S;
Coldplay;Everyday Life;2019;;;Rock;LP;Parlophone;TMR-653;;S;
Coltrane, John;Blue World;2019;;;Jazz;LP;Impulse!;B0030158-01;Y;M;
GoGo Penguin;Ocean In A Drop (Music For Film);2019;;;Jazz;LP;Blue Note;602577888090;;S;
Harrison, Michael Allen;Heavy Mellow Classic Rock Solo Piano;2019;;;Jazz;CD;MAH;155;;S;
Harrison, Michael Allen;It's The Most Wonderful Time Of The Year - Solo Piano;2019;;;Jazz;CD;MAH;none;;S;
Coldplay;Parachutes;2020;;;Rock;LP;Parlophone;190295182502;Y;S;
Coltrane, John;Giant Steps;2020;;;Jazz;CD;Atlantic;1311-2;Y;M;
Godin, Nicolas;Concrete And Glass;2020;;;Jazz;LP;NCLS;BEC5650115;;S;
GoGo Penguin;GoGo Penguin;2020;;;Jazz;CD;Blue Note;602508789182;;S;
Metheny, Pat;From This Place;2020;;;Jazz;CD;Nonesuch;WPCR-18309;;S;
Coldplay;Music of the Spheres;2021;;;Rock;CD;Parlophone;190296669888;;S;
Hirano, Taku;Blu York (Live In NYC);2021;;;Jazz;CD;Modern Icon Recordings;MOD-112;;S;
Evans, Bill Trio;Moon Beams;2022;;;Jazz;LP;DOL;DOL877HG;Y;S;
Green, Grant;Feelin' The Spirit;2022;;;Jazz;LP;Blue Note;B0033488-01;Y;S;
Tears For Fears;The Tipping Point;2022;;;Rock;LP;Concord Records;888072404137;;S;
Axelrod, David;Song Of Innocence;2023;;;Jazz;LP;Capitol Records;700204;;S;
GoGo Penguin;Everything Is Going To Be OK;2023;;;Jazz;LP;XXIM Records;19658776991;;S;
Green, Grant;Green Street;2023;;;Jazz;LP;Blue Note;5524263;Y;S;
Coldplay;Moon Music;2024;;;Rock;LP;Parlophone;5021732278883;;S;
Schwartz, Stephen;Wicked (The Soundtrack);2024;;;Soundtrack;CD;Republic Records;602475112143;;S;
