Artist;Title;Year;Orchestra;Conductor;Genre;Format;Label;Catalog Number;Reissue;Mode;DBX
Blood, Sweat And Tears;Blood, Sweat & Tears Greatest Hits;1972;;;Jazz;LP;Columbia;KC 31170;;S;
Chicago;Chicago V;1972;;;Rock;Cass;Columbia;CT 31102;;S;
Coryell, Larry;Offering;1972;;;Jazz;LP;Vanguard;VSD-79319;;S;
Crusaders, The;Crusaders 1;1972;;;Jazz;LP;Blue Thumb Records;BTS 6001;;S;
Crusaders, The;Hollywood;1972;;;Jazz;LP;MoWest;MW 118 L;;S;
Fogelberg, Dan;Home Free;1972;;;Rock;LP;Columbia;KC 31751;;S;
Grieg, Edvard;Piano Concerto In A Minor / Rhapsody On A Theme Of Paganini;1972;Los Angeles Philharmonic;Pennario, Leonard;Symphonic;LP;Seraphim;S-60195;Y;S;
Laws, Hubert;Morning Star;1972;;;Jazz;LP;CTI Records;CTI 6022;;S;
Mayorga, Lincoln  And Distinguished Colleagues;The Missing Linc (Volume II);1972;;;Jazz;LP;Sheffield;S-10;;S;
Rich, Buddy  Big Band;Superpak;1972;;;Jazz;LP;United Artists Records;UXS-86;;S;
Steely Dan;Can't Buy A Thrill;1972;;;Rock;LP;ABC Records;ABCX 758;;S;
Stravinksy, Igor;Firebird Suite, The;1972;Berlin Radio Symphony;Maazel, Loren;Symphonic;Cass;Deutsche Grammophon;415 927-4;Y;S;
Washington Jr, Grover;All The King's Horses;1972;;;Jazz;LP;Kudu;KU 07;;S;
Weisberg, Tim;Tim Weisberg;1972;;;Jazz;LP;A&M Records;SP-3039;;S;
Benson, George;The Other Side Of Abbey Road;1973;;;Jazz;LP;A&M Records;SP-3028;Y;S;
Benson, George;Body Talk;1973;;;Jazz;LP;CTI Records;CTI 6033;;S;
Blood, Sweat And Tears;No Sweat;1973;;;Jazz;LP;Columbia;KC 32180;;S;
Chicago;Chicago VI;1973;;;Rock;Cass;Columbia;CT 32400;;S;
Creedence Clearwater Revival;More Creedence Gold;1973;;;Rock;LP;Fantasy;9160-9430;Y;S;
Crusaders, The;Unsung Heroes;1973;;;Jazz;LP;Blue Thumb Records;BTS 6007;;S;
Crusaders, The;The 2nd Crusade;1973;;;Jazz;LP;Blue Thumb Records;BTS 7000;;S;
Deodato, Eumir;Deodato 2;1973;;;Jazz;LP;CTI Records;CTI 6029;;S;
Deodato, Eumir;Prelude;1973;;;Jazz;LP;CTI Records;CTI 6021;;S;
Horn, Paul;Inside II;1973;;;Jazz;LP;Epic;E 31600;Y;S;
John, Elton;Goodbye Yellow Brick Road;1973;;;Rock;LP;MCA Records;MCA2-10003;;S;
Laws, Hubert;Carnegie Hall;1973;;;Jazz;LP;CTI Records;CTI 6025;;S;
Laws, Hubert;Carnegie Hall;1973;;;Jazz;LP;CTI Records;CTI 6025;;S;
Oldfield, Mike;Tubular Bells;1973;;;Soundtrack;LP;Virgin;VR 13-105;;S;
Steely Dan;Countdown To Ecstasy;1973;;;Rock;LP;ABC Records;ABCX-779;;S;
Supersax;Supersax Plays Bird;1973;;;Jazz;LP;Capitol Records;ST-11177;;S;
Sykes, Roosevelt;Urban Blues;1973;;;Jazz;LP;Fantasy;F 24717;;S;
Szabo, Gabor;Mizrab;1973;;;Jazz;LP;CTI Records;CTI 6026;;S;
Walsh, Joe;The Smoker You Drink, The Player You Get;1973;;;Rock;LP;Dunhill;DSX-50140;;S;
Weisberg, Tim;Dreamspeaker;1973;;;Jazz;LP;A&M Records;SP-3045;;S;
Who, The;Who's Next;1973;;;Rock;Cass;MCA Records;MCAC-2023;;S;
Kenton, Stan;Plays Chicago;1974;;;Jazz;LP;Creative World;ST 1072;;S;Y
America;Holiday;1974;;;Rock;LP;Warner Bros. Records;W 2808;;S;
Benson, George;Bad Benson;1974;;;Jazz;LP;CTI Records;CTI 6045 S1;;S;
Burton, Gary Quintet;Ring;1974;;;Jazz;LP;ECM Records;ECM 1051;;S;
Chase;Pure Music;1974;;;Jazz;LP;Epic;KE 32572;;S;
Chicago;Chicago VII;1974;;;Rock;Cass;Columbia;C2T 32810;;S;
Croce, Jim;Photographs & Memories (His Greatest Hits);1974;;;Rock;LP;ABC Records;ABCD-835;;S;
Crosby, Stills, Nash & Young;So Far;1974;;;Rock;LP;Atlantic;SD 18100;Y;S;
Crusaders, The;Southern Comfort;1974;;;Jazz;LP;Blue Thumb Records;BTSY-9002-2;;S;
Crusaders, The;Scratch;1974;;;Jazz;LP;Blue Thumb Records;BTS 6010;;S;
Deodato, Eumir;In Concert;1974;;;Jazz;LP;CTI Records;CTI 6041;;S;
Ferguson, Maynard;Chameleon;1974;;;Jazz;LP;Columbia;KC 33007;;S;
Ferguson, Maynard;M.F. Horn 4&5: Live At Jimmy's;1974;;;Jazz;LP;Columbia;PG 32732;;S;
Hamilton, Chico;The Master;1974;;;Jazz;LP;Stax;ENS-7501;;S;
Hancock, Herbie;Thrust;1974;;;Jazz;LP;Columbia;PC 32965;;S;
Holst, Gustav;Planets, Op. 32, The;1974;London Symphony Orchestra;Previn, Andre;Symphonic;LP;Angel Records;S 36991;;S;
John, Elton;Caribou;1974;;;Rock;LP;MCA Records;MCA-2116;;S;
Klemmer, John;John Klemmer;1974;;;Jazz;LP;MCA Coral;CR-20155;;S;
Lewis, Ramsey;Sun Goddess;1974;;;Jazz;LP;Columbia;PC 33194;;S;
Mayorga, Lincoln;Mayorga, Lincoln  & Distinguished Colleagues - Volume III;1974;;;Jazz;LP;Sheffield Lab;Lab-1;;S;
Modern Jazz Quartet, The;Blues On Bach;1974;;;Jazz;LP;Atlantic;SD 1652;;S;
Muhammad, Idris;Power Of Soul;1974;;;Jazz;LP;Kudu;KU 17;;S;
Scott, Tom;Tom Scott And The L.A. Express;1974;;;Jazz;LP;Ode Records;SP-77021;;S;
Sims, Zoot;Nirvana;1974;;;Jazz;LP;Groove Merchant;GM 533;;S;
Steely Dan;Pretzel Logic;1974;;;Rock;LP;ABC Records;ABCD-808;;S;
Supertramp;Crime Of The Century;1974;;;Rock;LP;A&M Records;SP-3647;;S;
Szabo, Gabor;Rambler;1974;;;Jazz;LP;CTI Records;CTH 1001;;S;
Three Dog Night;Joy To The World - Their Greatest Hits;1974;;;Rock;CD;MCA Records;MCAD-1466;Y;S;
Watanabe, Sadao;Round Trip;1974;;;Jazz;LP;Vanguard;VSD 79344;;S;
Weather Report;Mysterious Traveller;1974;;;Jazz;LP;CBS;S 80027;;S;
Weisberg, Tim;Hurtwood Edge;1974;;;Jazz;LP;A&M Records;SP4352;;S;
Abercrombie, John;Sargasso Sea;1975;;;Jazz;LP;ECM Records;ECM 1080;;S;
Ambrosia;Ambrosia;1975;;;Rock;LP;20th Century Records;T-434;;S;
America;History - America's Greatest Hits;1975;;;Rock;Cass;Warner Bros. Records;CWX-2894;;S;
America;Hearts;1975;;;Rock;Cass;Warner Bros. Records;WB M5 2852;;S;
Blood, Sweat And Tears;New City;1975;;;Rock;LP;Columbia;PC 33484;;S;
Byrd, Donald;Places And Spaces;1975;;;Jazz;LP;Blue Note;BN-LA549-G;;S;
Chicago;Chicago VIII;1975;;;Rock;Cass;Columbia;PCT 33100;;S;
Coltrane, John;Gentle Side Of John Coltrane, The;1975;;;Jazz;CD;Impulse!;GRP 11072;;S;
Crusaders, The;The Young Rabbits;1975;;;Jazz;LP;Blue Note;BN-LA530-H2;;S;
Fogelberg, Dan;Souvenirs;1975;;;Rock;LP;Epic;PE 33137;Y;S;
Fogelberg, Dan;Captured Angel;1975;;;Rock;LP;Full Moon;PE 33499;Y;S;
Getz, Stan;Captain Marvel;1975;;;Jazz;LP;Columbia;KC 32706;;S;
Haydn, Joseph;Quartets, Opus 76 (Complete);1975;Budapest String Quartet;;Symphonic;LP;Columbia Odyssey;Y3 33324;Y;M;
James, Bob;One;1975;;;Jazz;LP;CTI Records;CTI 6043;;S;
Laws, Hubert;The Chicago Theme;1975;;;Jazz;LP;CTI Records;CTI 6058 S1;;S;
Mangione, Chuck;Chase The Clouds Away;1975;;;Jazz;LP;A&M Records;SP-4518;;S;
Modern Jazz Quartet, The;The Last Concert;1975;;;Jazz;LP;Atlantic;2SD 909;;S;
Oregon;In Concert;1975;;;Jazz;LP;Vanguard;VSD-79358;;S;
Rampal, Jean-Pierre;Suite For Flute And Jazz Piano;1975;;;Jazz;LP;Columbia Masterworks;M 33233;;S;
Scott, Tom;New York Connection;1975;;;Jazz;LP;Epic;PE 34959;Y;S;
Scott, Tom;Tom Cat;1975;;;Jazz;LP;Ode Records;SP-77029;;S;
Seals & Crofts;Greatest Hits;1975;;;Rock;LP;Warner Bros. Records;BS 2886;Y;S;
Simon, Paul;Still Crazy After All These Years;1975;;;Rock;LP;Columbia;PC 33540;;S;
